PubID,Pub,KatPub,RomPub
1,1万年堂出版,１マンネンドウシュッパン,１MANNENDOSHUPPAN
2,三五館シンシャ,３５カンシンシャ,３５KANSHINSHA
3,アーバン,アーバン,ABAN
4,アド・グリーン企画出,アド・グリーンキカクデ,ADO・GURINKIKAKUDE
5,アイ企画,アイキカク,AIKIKAKU
6,あいうえお館,アイウエオカン,AIUEOKAN
7,あいうえお館（渋谷区）,アイウエオカン（シブヤク）,AIUEOKAN（SHIBUYAKU）
8,赤ちゃんとママ社,アカチャントママシャ,AKACHANTOMAMASHA
9,あかね書房,アカネショボウ,AKANESHOBO
10,明石書店,アカシショテン,AKASHISHOTEN
11,亜紀書房,アキショボウ,AKISHOBO
12,アンビット,アンビット,AMBITTO
13,アノニマ・スタジオ,アノニマ・スタジオ,ANONIMA・SUTAJIO
14,青幻舎,アオマボロシシャ,AOMABOROSHISHA
15,アプリコット出版,アプリコットシュッパン,APURIKOTTOSHUPPAN
16,アリス館,アリスカン,ARISUKAN
17,アルファポリス,アルファポリス,ARUFUAPORISU
18,アルク,アルク,ARUKU
19,アルク（千代田区）,アルク（チヨダク）,ARUKU（CHIYODAKU）
20,朝日学生新聞社,アサヒガクセイシンブンシャ,ASAHIGAKUSEISHIMBUNSHA
21,朝日新聞出版,アサヒシンブンシュッパン,ASAHISHIMBUNSHUPPAN
22,朝日出版社,アサヒシュッパンシャ,ASAHISHUPPANSHA
23,飛鳥新社,アスカシンシャ,ASUKASHINSHA
24,アスキー・メディアワークス,アスキー・メディアワークス,ASUKI・MEDEIAWAKUSU
25,あすなろ書房,アスナロショボウ,ASUNAROSHOBO
26,アスラン書房,アスランショボウ,ASURANSHOBO
27,アートデイズ,アートデイズ,ATODEIZU
28,ベネッセコーポレーション,ベネッセコーポレーション,BENESSEKOPORESHON
29,ベースボール・マガジン社,ベースボール・マガジンシャ,BESUBORU・MAGAJINSHA
30,ビジネス社,ビジネスシャ,BIJINESUSHA
31,BL出版,ＢＬシュッパン,ＢＬSHUPPAN
32,ブイツーソリューション,ブイツーソリューション,BUITSUSORYUSHON
33,文英堂,ブンエイドウ,BUNEIDO
34,文芸社,ブンゲイシャ,BUNGEISHA
35,文藝春秋,ブンゲイシュンジュウ,BUNGEISHUNJU
36,文響社,ブンヒビキシャ,BUNHIBIKISHA
37,文化出版局,ブンカシュッパンキョク,BUNKASHUPPANKYOKU
38,文渓堂,ブンケイドウ,BUNKEIDO
39,文溪堂,ブンケイドウ,BUNKEIDO
40,文研出版,ブンケンシュッパン,BUNKENSHUPPAN
41,文理,ブンリ,BUNRI
42,ブロンズ新社,ブロンズシンシャ,BURONZUSHINSHA
43,ブティック社,ブティックシャ,BUTEIKKUSHA
44,チャイルド本社,チャイルドホンシャ,CHAIRUDOHONSHA
45,致知出版社,チチシュッパンシャ,CHICHISHUPPANSHA
46,筑摩書房,チクマショボウ,CHIKUMASHOBO
47,千倉書房,チクラショボウ,CHIKURASHOBO
48,汐文社,チョウブンシャ,CHOBUNSHA
49,宙出版,チュウシュッパン,CHUSHUPPAN
50,大日本絵画,ダイニホンカイガ,DAINIHONKAIGA
51,大日本図書,ダイニホントショ,DAINIHONTOSHO
52,ダイヤモンド社,ダイヤモンドシャ,DAIYAMONDOSHA
53,デアゴスティーニ・ジャパン,デアゴスティーニ・ジャパン,DEAGOSUTEINI・JAPAN
54,ディスカヴァー・トゥエンティワン,ディスカヴァー・トゥエンティワン,DEISUKABUA・TOENTEIWAN
55,ドレミ楽譜出版社,ドレミガクフシュッパンシャ,DOREMIGAKUFUSHUPPANSHA
56,童心社,ドウシンシャ,DOSHINSHA
57,童話館出版,ドウワカンシュッパン,DOWAKANSHUPPAN
58,童話屋,ドウワヤ,DOWAYA
59,Dybooks,Dybooks,DYBOKS
60,エアーダイブ,エアーダイブ,EADAIBU
61,エド・インター,エド・インター,EDO・INTA
62,絵本塾出版,エホンジュクシュッパン,EHONJUKUSHUPPAN
63,絵本館,エホンカン,EHONKAN
64,えほんの杜,エホンノモリ,EHONNOMORI
65,エイデル研究所,エイデルケンキュウショ,EIDERUKENKYUSHO
66,エイ出版社,エイシュッパンシャ,EISHUPPANSHA
67,エクスナレッジ,エクスナレッジ,EKUSUNAREJJI
68,エンターブレイン,エンターブレイン,ENTABUREIN
69,エッセンシャル出版社,エッセンシャルシュッパンシャ,ESSENSHARUSHUPPANSHA
70,婦人之友社,フジンノトモシャ,FUJINNOTOMOSHA
71,富士通エフ・オー・エム,フジツウエフ・オー・エム,FUJITSUEFU・O・EMU
72,復刊ドットコム,フッカンドットコム,FUKKANDOTTOKOMU
73,福井県教育委員会,フクイケンキョウイクイインカイ,FUKUIKENKYOIKUIINKAI
74,福音館書店,フクインカンショテン,FUKUINKANSHOTEN
75,文一総合出版,フミカズソウゴウシュッパン,FUMIKAZUSOGOSHUPPAN
76,文屋,フンヤ,FUNYA
77,フォーラム・A,フォーラム・Ａ,FUORAMU・Ａ
78,フレーベル館,フレーベルカン,FUREBERUKAN
79,フロンティアワークス,フロンティアワークス,FURONTEIAWAKUSU
80,扶桑社,フソウシャ,FUSOSHA
81,双葉社,フタバシャ,FUTABASHA
82,二見書房,フタミショボウ,FUTAMISHOBO
83,冨山房,フザンボウ,FUZAMBO
84,冨山房インターナショナル,フザンボウインターナショナル,FUZAMBOINTANASHONARU
85,学研マーケティング,ガッケンマーケティング,GAKKEMMAKETEINGU
86,学研パブリッシング,ガッケンパブリッシング,GAKKEMPABURISSHINGU
87,学研プラス,ガッケンプラス,GAKKEMPURASU
88,学研教育みらい,ガッケンキョウイクミライ,GAKKENKYOIKUMIRAI
89,学研教育出版,ガッケンキョウイクシュッパン,GAKKENKYOIKUSHUPPAN
90,学校図書,ガッコウトショ,GAKKOTOSHO
91,現代企画室,ゲンダイキカクシツ,GENDAIKIKAKUSHITSU
92,玄光社,ゲンコウシャ,GENKOSHA
93,幻冬舎,ゲントウシャ,GENTOSHA
94,幻冬舎エデュケーション,ゲントウシャエデュケーション,GENTOSHAEDEYUKESHON
95,技術評論社,ギジュツヒョウロンシャ,GIJUTSUHYORONSHA
96,銀の鈴社,ギンノスズシャ,GINNOSUZUSHA
97,銀鳥産業,ギントリサンギョウ,GINTORISANGYO
98,ゴブリン書房,ゴブリンショボウ,GOBURINSHOBO
99,合同出版,ゴウドウシュッパン,GODOSHUPPAN
100,語学春秋社,ゴガクシュンジュウシャ,GOGAKUSHUNJUSHA
